,Return_MV,Return_MV_50,Return_VW,Return_VW_50
2014-01-31,-0.037524279045927166,-0.03636176095094937,-0.06638536080598553,-0.058781546693123854
2014-02-28,0.01612929768746787,0.012187648953568445,0.020543558646061576,0.021106822041293008
2014-03-31,0.014384719948970916,0.013620656370822874,0.05002631480456223,0.06028089276158182
2014-04-30,0.025596100545664798,0.02984264133553536,0.0053252460587102715,0.03305586251232256
2014-05-30,0.008720998722789364,0.0161579070802757,0.04283230050078891,0.01443731178130684
2014-06-30,0.011680721768630465,0.012871695890328952,0.03369341385052525,0.013568094050932341
2014-07-31,0.006767623722947248,0.012134645429872946,-0.00601054904864057,-0.009077988674673347
2014-08-29,0.03409570252877894,0.03375107505802545,0.023139125056151604,0.05411863241658295
2014-09-30,-0.030211720439104126,-0.02821678305084597,-0.07172547730489484,-0.08743861935067217
2014-10-31,0.0202990457587467,0.02051166628660609,0.011009255946009464,0.007612608847217633
2014-11-28,-0.022248480276990428,-0.01823278042940125,-0.01855269196818942,0.019056644649776366
2014-12-31,-0.030339900554007787,-0.03187347621572155,-0.06636425817987142,-0.04881971965728999
2015-01-30,0.013119225761192135,0.013039898957013787,0.0074971141216019135,0.06929418837518539
2015-02-27,0.035474923892808305,0.03474592263383731,0.037016589872422186,0.01936296180237811
2015-03-31,0.0030371913776145363,0.00340993886297575,-0.033047573570393875,-0.04309859317882698
2015-04-30,0.033414714893984496,0.02824359667708713,0.04997169367266817,0.08942298027697436
2015-05-29,-0.04235069492306243,-0.03752943673972475,-0.04297022422963999,-0.034173221261235114
2015-06-30,-0.024799132905846365,-0.023372934074995667,-0.015469243861396751,-0.00013802779482024194
2015-07-31,0.013975099485958195,0.01982597624449759,-0.05099623554129281,-0.05796744066699317
2015-08-31,-0.06704284502989719,-0.06901679272495959,-0.08673477283823727,-0.04225450029238037
2015-09-30,-0.018565724539935356,-0.017127615595151576,-0.02103282887611315,-0.026288902398604343
2015-10-30,0.035910991406709655,0.0342649836937402,0.06400796836563458,0.04248274807611546
2015-11-30,-0.019957541811825505,-0.02652304762435892,-0.035799326359224344,-0.029706576952649784
2015-12-31,-0.01709279663801441,-0.01728225014915908,-0.018179883740110245,-0.018772079905062168
2016-01-29,0.041396658956452316,0.03409867079722894,-0.0437727995008356,0.005701701394369042
2016-02-29,-0.004093687635902562,-0.007403309145120571,-0.008609005744412621,0.0028901928437339293
2016-03-31,0.07850801360960402,0.07553196171584073,0.13407804399408146,0.13128054693670124
2016-04-29,-0.009360948277010193,-0.017717766836327982,0.018811389279161303,0.021866101956300787
2016-05-31,0.0002517111868273264,0.004934377826275431,-0.03680153881975873,-0.04230080033296865
2016-06-30,0.06698799676826903,0.06266943902824061,0.04911991688056786,0.04622922642196311
2016-07-29,0.025100139351115436,0.014141674982924924,0.04726902814829303,0.04657087544087348
2016-08-31,-0.016540341287364112,7.365334244155974e-06,0.02057191798578758,0.01595699077392499
2016-09-30,-0.011460692648849897,-0.010390796993917512,0.006289415244208573,0.002947670673662119
2016-10-31,-0.03308433608767409,-0.03736574933463093,0.007586687803876353,-0.005442062758733901
2016-11-30,-0.061889015133113456,-0.06023407372452666,-0.03872470243064131,-0.03835064045461318
2016-12-30,-0.027075044371552854,-0.03275521948968147,0.018299505286219445,-0.014579987477999875
