,MVP,MVP −50% CF,VW,VW −50% CF
Ann. avg return,0.07686547635614063,0.07375480183719701,0.0824115776494164,0.12507565530504927
Ann. volatility,0.10399137460462575,0.10142116906968576,0.15544815152717126,0.181440296243331
Sharpe ratio,0.5712177235817245,0.5551498575343626,0.41834105397300475,0.594153769363762
Min monthly ret,-0.06704284502989719,-0.06901679272495959,-0.16773359951702824,-0.21416315069670788
Max monthly ret,0.14518600620186306,0.1291219298546895,0.13407804399408146,0.15383388358095126
