,WACI_MV,WACI_MV_50,WACI_VW,WACI_VW_50,WACI_NZ,CF_MV,CF_MV_50,CF_VW,CF_VW_50,CF_NZ
2014,302.88141306968913,196.91607893357295,572.0069781926449,321.6289518243208,321.5834014704553,161.4995944473563,80.74979722367853,463.61231761820216,144.17908247111373,144.1593219833972
2015,351.3704357007373,204.89521462830223,630.9785735954737,286.67932336935553,530.4597843036989,159.45992143147174,79.72996071573507,582.8133479770504,291.40667398852156,375.5259772707391
2016,190.37509032919303,145.24914868425935,516.16899766099,218.08618820979794,275.6480508397816,103.72726728941281,51.86363364470557,473.13631561390457,236.56815780693742,337.9733795436358
2017,270.88987090683895,117.529205415624,627.9708327978778,292.06362979343777,253.79286182205286,98.21840292111585,49.10920146055781,717.1778420067866,358.5889210037823,304.1760415894352
2018,421.01370474434117,389.3163659007018,700.3170493155524,642.1356905282524,651.1212591051928,325.65069795154045,162.8253489757664,668.5170197309344,334.258510277041,273.7584374286374
2019,1167.7566316268574,947.7779313333311,483.94526740460276,272.4317700079534,271.7023122856432,784.946581664506,392.4732908322428,593.1529035057315,296.57645193561274,246.38259369929267
2020,475.71832045031704,241.91709348509136,587.8496515187053,320.75046218719854,212.60250776089524,227.14686451220936,113.5734322561022,693.7223224467253,346.86116121887824,221.7443343102644
2021,430.41546126661865,333.6948718519793,416.32042784156954,298.57091319771394,239.4539064772477,273.3791716835649,136.68958584177992,676.6977895823451,338.3488947911716,199.56990088675883
2022,722.2968914190899,555.4479687702724,422.57168665636823,263.94455594475494,182.03384370576865,415.6984817549711,207.84924087748433,590.7570549361426,295.37852746804924,179.6129107980637
2023,419.9609582842015,262.489211887193,390.5535943989189,300.5494304373933,176.28569566790375,597.1906215951121,298.59531079753447,570.24996692267,285.1249835366048,161.6516197315508
2024,424.212151483662,185.98155818767543,353.4849859201438,682.4096618530506,307.2056686113194,424.87653812889477,212.43826906444758,645.6814173800744,322.84070874374413,145.48645774665414
2025,420.1184122548883,227.42433550152856,394.41966933257584,290.3863574367713,137.70083158162646,526.1928181400496,263.0964090700004,580.7382872897686,290.3691483236766,130.93781197189514
