,Return_MV,Return_VW
2014-01-31,-0.037524279045927166,-0.06638536080598553
2014-02-28,0.01612929768746787,0.020543558646061576
2014-03-31,0.014384719948970916,0.05002631480456223
2014-04-30,0.025596100545664798,0.0053252460587102715
2014-05-30,0.008720998722789364,0.04283230050078891
2014-06-30,0.011680721768630465,0.03369341385052525
2014-07-31,0.006767623722947248,-0.00601054904864057
2014-08-29,0.03409570252877894,0.023139125056151604
2014-09-30,-0.030211720439104126,-0.07172547730489484
2014-10-31,0.0202990457587467,0.011009255946009464
2014-11-28,-0.022248480276990428,-0.01855269196818942
2014-12-31,-0.030339900554007787,-0.06636425817987142
2015-01-30,0.013119225761192135,0.0074971141216019135
2015-02-27,0.035474923892808305,0.037016589872422186
2015-03-31,0.0030371913776145363,-0.033047573570393875
2015-04-30,0.033414714893984496,0.04997169367266817
2015-05-29,-0.04235069492306243,-0.04297022422963999
2015-06-30,-0.024799132905846365,-0.015469243861396751
2015-07-31,0.013975099485958195,-0.05099623554129281
2015-08-31,-0.06704284502989719,-0.08673477283823727
2015-09-30,-0.018565724539935356,-0.02103282887611315
2015-10-30,0.035910991406709655,0.06400796836563458
2015-11-30,-0.019957541811825505,-0.035799326359224344
2015-12-31,-0.01709279663801441,-0.018179883740110245
2016-01-29,0.041396658956452316,-0.0437727995008356
2016-02-29,-0.004093687635902562,-0.008609005744412621
2016-03-31,0.07850801360960402,0.13407804399408146
2016-04-29,-0.009360948277010193,0.018811389279161303
2016-05-31,0.0002517111868273264,-0.03680153881975873
2016-06-30,0.06698799676826903,0.04911991688056786
2016-07-29,0.025100139351115436,0.04726902814829303
2016-08-31,-0.016540341287364112,0.02057191798578758
2016-09-30,-0.011460692648849897,0.006289415244208573
2016-10-31,-0.03308433608767409,0.007586687803876353
2016-11-30,-0.061889015133113456,-0.03872470243064131
2016-12-30,-0.027075044371552854,0.018299505286219445
2017-01-31,0.012481758797172324,0.04788593096527752
2017-02-28,0.04741341326391102,0.027375766923943765
2017-03-31,0.01976319764541388,0.020265321599718902
2017-04-28,0.0010341960286987585,0.0112936658443075
2017-05-31,0.06128084546271596,0.015862480473345132
2017-06-30,-0.0005645884449445534,0.0008765620623569321
2017-07-31,0.008959519624995582,0.04787334866591604
2017-08-31,0.000993178985181575,0.026506250478848047
2017-09-29,0.007827054233264612,-0.0063575251811899686
2017-10-31,0.0035152549711960236,0.03848793646886568
2017-11-30,0.019227452577092977,-0.005375576655987706
2017-12-29,0.045066852560053994,0.049963272041626296
2018-01-31,0.04038684429442764,0.08882643249047892
2018-02-28,-0.019616448453357988,-0.04543411677752234
2018-03-30,0.023271177649469815,-0.018459545672876564
2018-04-30,-0.011933763535999661,-0.0006162847750326001
2018-05-31,-0.03917830944145993,-0.0435433883445071
2018-06-29,-0.03486470185948004,-0.037015193648147274
2018-07-31,0.013069831860629584,0.035462734292698576
2018-08-31,0.0018686330247135775,-0.016560501761266864
2018-09-28,0.007841839701789134,0.009753454951553832
2018-10-31,-0.046479917234041,-0.08179616262465667
2018-11-30,0.018201641077200924,0.03859924556539528
2018-12-31,0.025479546825776092,-0.017319353320120454
2019-01-31,0.019837142472341605,0.07535675306829767
2019-02-28,0.017108440626636218,-0.001064325827748992
2019-03-29,0.01702574094083987,0.013310512197267319
2019-04-30,0.012863426234409519,0.022630431261127938
2019-05-31,-0.013538934530988705,-0.046367709135380034
2019-06-28,0.04213867391508749,0.05632858433147617
2019-07-31,-0.0067337093188829175,-0.014556659189884648
2019-08-30,0.01875592176700719,-0.05665723893257741
2019-09-30,0.029340141542599642,0.030690332708025632
2019-10-31,0.028917291590353167,0.035442485366987374
2019-11-29,-0.02856060928048508,-0.010732312527729694
2019-12-31,0.02144798610794396,0.07193731286734556
2020-01-31,-0.016530819843257712,-0.04813468699730408
2020-02-28,-0.035632397078510104,-0.06668310665085765
2020-03-31,-0.04802224244618969,-0.16773359951702824
2020-04-30,0.0891148148535732,0.09973331212509104
2020-05-29,0.006291462789483827,0.00403661701956431
2020-06-30,0.06737035444094197,0.06688342599842219
2020-07-31,0.025500654825744932,0.07022882069636277
2020-08-31,-0.013169297711248822,0.0030181845290829803
2020-09-30,-0.019413625437598114,-0.019605247680657235
2020-10-30,0.028062110771272963,0.021185733270988015
2020-11-30,0.038789784670757194,0.1134557301962234
2020-12-31,0.026072277561045,0.08657937566300261
2021-01-29,-0.00278683930275984,0.02918014828156679
2021-02-26,0.02063792430673338,0.03240062885764572
2021-03-31,0.015496507998461596,0.0013312791465684424
2021-04-30,0.012073730774643004,0.02331674687384081
2021-05-31,0.011441226252448275,0.03438139461808091
2021-06-30,0.002140585863355561,-0.005307221144583819
2021-07-30,-0.006112082107137175,-0.044071272940676205
2021-08-31,0.017739739050065977,0.03892207417902123
2021-09-30,-0.006221773052240855,-0.023519625659086992
2021-10-29,0.019026105826961546,0.00831358687904202
2021-11-30,0.001236091187487215,-0.0346183951428967
2021-12-31,0.018387949531837304,0.03914195104353544
2022-01-31,-0.0017269396973833974,0.0031409962086404604
2022-02-28,0.020003375789388985,-0.046859874162962396
2022-03-31,0.0014538447836681561,0.02149988712648424
2022-04-29,-0.015105969715816922,-0.04948170020621564
2022-05-31,-0.0019900714445366253,0.009589713551350694
2022-06-30,-0.039939249022896056,-0.07954515228957305
2022-07-29,0.007142950696360412,0.0021754425441458465
2022-08-31,-0.003811065349622167,0.019686098987717587
2022-09-30,-0.05467070140253514,-0.10183438300618432
2022-10-31,-0.03227900824396686,0.002054421319696951
2022-11-30,0.14518600620186306,0.13030652058192793
2022-12-30,-0.03296534353007836,-0.021504652803766545
2023-01-31,0.030053315910323702,0.06592644728272506
2023-02-28,-0.00506992144957567,-0.04502233201620866
2023-03-31,0.039115073849242045,0.03465116774758933
2023-04-28,0.03354567475143522,0.006240026799391128
2023-05-31,0.002101337874565138,-0.0015077222069086935
2023-06-30,-0.007756936223094701,0.033466751579881965
2023-07-31,0.02197501485836385,0.04030316191227326
2023-08-31,-0.022346166792967033,-0.04645104447443968
2023-09-29,-0.015348881659358724,-0.01311344837146348
2023-10-31,-0.021043700082306157,-0.03195710067714342
2023-11-30,0.05752003174588139,0.0797578004799037
2023-12-29,0.029143020220538753,0.047112589922543725
2024-01-31,-0.006055311246922742,-0.01588036138197147
2024-02-29,-0.004066216218063381,0.030269930957612545
2024-03-29,-0.0258145075622136,0.029214108396765588
2024-04-30,-0.001275778773062214,0.011237121455141667
2024-05-31,0.03409536988001485,0.0167089259245527
2024-06-28,-0.016651126554021997,0.0011274761242914028
2024-07-31,0.014628494030509271,0.0033561384544027527
2024-08-30,0.03578673646471333,0.016410760928619466
2024-09-30,0.04647360152441367,0.033649449415632096
2024-10-31,-0.029416214212970547,-0.044599597342866844
2024-11-29,-0.04041180185364929,-0.027426117591010244
2024-12-31,-0.005725610179750915,-0.003727389355595296
2025-01-31,-0.0064851095380945075,0.005790989433114553
2025-02-28,0.011557808211161317,-0.016052727101173433
2025-03-31,0.004969065075790612,0.02117674856828589
2025-04-30,0.014477193143664276,0.01719267064071639
2025-05-30,0.04094920031928424,0.04569538401909605
2025-06-30,0.0332768775317992,0.05116707431159666
2025-07-31,-0.005730893680102028,0.01211902428475913
2025-08-29,0.01595703262303193,0.009444164341674142
2025-09-30,0.025443790538021576,0.05081240033802694
2025-10-31,0.01965573389218938,0.04950246506835604
2025-11-28,0.0024214759273411567,-0.009293587917628706
2025-12-31,0.004788253687504448,0.03118947739831997
