,MV,VW
Ann. avg return,0.07686547635614063,0.0824115776494164
Ann. volatility,0.10399137460462575,0.15544815152717126
Sharpe ratio,0.5712177235817245,0.41834105397300475
Min monthly ret,-0.06704284502989719,-0.16773359951702824
Max monthly ret,0.14518600620186306,0.13407804399408146
