,Return_VW,Return_VW_50,Return_NZ
2014-01-31,-0.06638536080598553,-0.058781546693123854,-0.05878190988605813
2014-02-28,0.020543558646061576,0.021106822041293008,0.021103983162016882
2014-03-31,0.05002631480456223,0.06028089276158182,0.06029143723030399
2014-04-30,0.0053252460587102715,0.03305586251232256,0.033062771926746344
2014-05-30,0.04283230050078891,0.01443731178130684,0.014437100166397949
2014-06-30,0.03369341385052525,0.013568094050932341,0.013566431935420746
2014-07-31,-0.00601054904864057,-0.009077988674673347,-0.009074293050625109
2014-08-29,0.023139125056151604,0.05411863241658295,0.05411931897086787
2014-09-30,-0.07172547730489484,-0.08743861935067217,-0.08743940437177963
2014-10-31,0.011009255946009464,0.007612608847217633,0.007623634656410623
2014-11-28,-0.01855269196818942,0.019056644649776366,0.019059844264616932
2014-12-31,-0.06636425817987142,-0.04881971965728999,-0.048815428795427565
2015-01-30,0.0074971141216019135,0.06929418837518539,0.06783572437730806
2015-02-27,0.037016589872422186,0.01936296180237811,0.01867874387207528
2015-03-31,-0.033047573570393875,-0.04309859317882698,-0.04684950707482202
2015-04-30,0.04997169367266817,0.08942298027697436,0.08933575720266931
2015-05-29,-0.04297022422963999,-0.034173221261235114,-0.03390012416841146
2015-06-30,-0.015469243861396751,-0.00013802779482024194,-0.0002816596997035337
2015-07-31,-0.05099623554129281,-0.05796744066699317,-0.06270338958262235
2015-08-31,-0.08673477283823727,-0.04225450029238037,-0.0424749282526642
2015-09-30,-0.02103282887611315,-0.026288902398604343,-0.024476303691634546
2015-10-30,0.06400796836563458,0.04248274807611546,0.04769158542503767
2015-11-30,-0.035799326359224344,-0.029706576952649784,-0.029151206070405413
2015-12-31,-0.018179883740110245,-0.018772079905062168,-0.01769167225702116
2016-01-29,-0.0437727995008356,0.005701701394369042,0.007752986831362969
2016-02-29,-0.008609005744412621,0.0028901928437339293,0.014728420759908434
2016-03-31,0.13407804399408146,0.13128054693670124,0.12249811178422171
2016-04-29,0.018811389279161303,0.021866101956300787,0.023072715383549748
